date;ticker;stock;close;high;low;open;price_change;volume;volume_dollars
2019-04-25;'000003;Ｂ股指数;312.3116;316.5279;312.2822;316.2455;-3.9707;411517;236023245.6
2019-04-24;'000003;Ｂ股指数;316.2823;316.2823;313.1884;314.717;1.5975;282716;168463994.4
2019-04-23;'000003;Ｂ股指数;314.6848;316.3238;314.1538;315.5169;-1.5197;346746;186001363.8
2019-04-22;'000003;Ｂ股指数;316.2045;320.2254;316.1054;319.9212;-3.7586;346723;236641033.4
2019-04-19;'000003;Ｂ股指数;319.9631;319.9863;317.6169;318.9426;0.9764;244943;173525875.6
2019-04-18;'000003;Ｂ股指数;318.9867;319.3993;317.5135;318.087;0.9515;275251;210516362.7
2019-04-17;'000003;Ｂ股指数;318.0352;318.5591;316.5167;317.3988;0.7895;247724;159968193.1
2019-04-16;'000003;Ｂ股指数;317.2457;317.2554;312.1544;312.8889;4.109;301092;215719916.6
2019-04-15;'000003;Ｂ股指数;313.1367;317.3374;313.1231;314.3477;-0.1153;305245;213125278.4
2019-04-12;'000003;Ｂ股指数;313.252;313.9393;311.5958;312.5324;0.4783;282063;176325756.0
2019-04-11;'000003;Ｂ股指数;312.7737;316.5779;312.0428;316.4652;-3.3025;383846;253766254.5
2019-04-10;'000003;Ｂ股指数;316.0762;318.5061;315.1084;317.3858;-1.1492;445949;293355761.2
2019-04-09;'000003;Ｂ股指数;317.2254;318.4026;315.5757;318.4026;-1.1567;416513;245936349.4
2019-04-08;'000003;Ｂ股指数;318.3821;320.6386;315.4846;319.0105;-0.0318;730596;457096601.2
2019-04-04;'000003;Ｂ股指数;318.4139;320.9979;317.16700000000003;319.672;0.0348;782399;504744109.4
2019-04-03;'000003;Ｂ股指数;318.3791;318.3791;312.7468;313.6763;4.4954;674704;457791070.5
2019-04-02;'000003;Ｂ股指数;313.8837;315.703;313.5016;314.7011;0.0591;562912;365298812.2
2019-04-01;'000003;Ｂ股指数;313.8246;314.2595;308.4137;308.4137;7.0398;822918;574281522.8
2019-03-29;'000003;Ｂ股指数;306.7848;306.7848;301.1947;301.3397;5.1692;483474;257164391.9
2019-03-28;'000003;Ｂ股指数;301.6156;303.4641;301.1565;301.9103;-0.4557;268465;130505580.7
2019-03-27;'000003;Ｂ股指数;302.0713;302.8157;300.5744;301.5052;0.7067;338544;149139737.7
2019-03-26;'000003;Ｂ股指数;301.3646;306.9348;301.063;306.3594;-4.5179;512478;243463833.7
2019-03-25;'000003;Ｂ股指数;305.8825;308.4462;305.2099;307.1627;-3.1959;501707;267870129.9
