;ticker;name_b;ticker_a;name_a;ticker_en;shares_outstanding_a;shares_outstanding_b;shares_outstanding_other;type_other;company_name_en;company_name_cn;latest_market_cap;avg_volume;avg_volume_usd;industry_en;industry_update;industry
39;900945;海航B股;600221;海南航空;hkbg;16436.0027;369.4464;0.6712;preferred A;Hainan Airlines;海南航空股份有限公司;33027258265.4;4632724.46875;2287734.84375;Industrials;航空运输;航空运输业
40;900946;天雁B股;600698;湖南天雁;sttyb;737.5752;230;96.8348;preferred A;Hunan Tyen Machinery;湖南天雁机械股份有限公司;1252669861.89;16785019.5;7805922.13157895;Industrials;交运设备;汽车制造业
41;900947;振华B股;600320;振华重工;zhbg;3321.9977;1946.3558;0;NA;Shanghai Zhenhua Heavy Industries;上海振华重工(集团)股份有限公司;12579849827.1;27205673.7105263;13147050.4473684;Consumer Discretionary;机械;专用设备制造业
42;900948;伊泰B股;NA ;NA ;ytbg;0;1328;326.007;H shares;Inner Mongolia Yitai Coal;内蒙古伊泰煤炭股份有限公司;19871855974.8;80393140.9210526;97940338.2631579;Energy;能源;煤炭开采和洗选业
43;900951;大化B股;NA ;NA ;stdhb;0;100;175;preferred A;Dahua Group Dalian Chemical;大化集团大连化工股份有限公司;734129632.5;6055369.56756757;4682217.27027027;Materials;基础化工;化学原料和化学制品制造业
44;900952;锦港B股;600190;锦州港;jgbg;1779.4845;222.807;0;NA;Jinzhou Port;锦州港股份有限公司;4386201138.59;5338710.97368421;2505390.92105263;Industrials;公路港口航运;水上运输业
45;900953;凯马B;NA ;NA ;kmb;0;240;400;preferred A;Kama Co;恒天凯马股份有限公司;2199888384;8749444.36842105;7586499.84210526;Consumer Discretionary;交运设备;汽车制造业
46;900955;海创B股;600555;九龙山;hcbg;973.5;330;0;NA;HNA Innovation;海航创新（海南）股份有限公司;2010740386.05;8090201.02631579;3641008.34210526;Real Estate;房地产;房地产业
47;900956;东贝B股;NA ;NA ;dbbg;0;115;120;preferred A;Huangshi Dongbei Appliance ;黄石东贝电器股份有限公司;2148539811;4437748.92105263;6769323.97368421;Consumer Discretionary;机械;电器产业
48;900957;凌云B股;NA ;NA ;lybg;0;184;165;preferred A;Shanghai Lingyun Industries;上海凌云实业发展股份有限公司;1425785754;9073295.21052632;7955109.76315789;Utilities;公用事业;房地产业
